[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001390s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001750s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001297s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckLang Behavior [ RunTime:0.002533s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004590s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001221s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001574s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.013089s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013614s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001465s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001977s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000615s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001423s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006560s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000800s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001137s ]
[ 2012-12-04T00:01:51+08:00 ] /yesow/admin.php/public/verify/ | ERR: (ThinkException) 非法操作verify
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001270s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001606s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001142s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckLang Behavior [ RunTime:0.002431s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004076s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000995s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001318s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.012929s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013273s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000886s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.003746s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000657s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001296s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007441s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000785s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001112s ]
[ 2012-12-04T00:09:24+08:00 ] /yesow/admin.php/public/verify/ | ERR: (ThinkException) 非法操作verify
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000998s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001323s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001057s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckLang Behavior [ RunTime:0.002062s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003590s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000756s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001105s ]
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-04T00:09:25+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.011855s ]
