[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.063814s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.061627s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.136628s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.024493s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.024858s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 125 行.
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 139 行.
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.189303s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.189616s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.002672s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.003329s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001654s ]
[ 2012-12-05T09:20:38+08:00 ] /yesow/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002737s ]
