[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001005s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001104s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000422s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001358s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004956s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000792s ]
[ 2012-12-12T00:00:05+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001122s ]
[ 2012-12-12T00:00:38+08:00 ] /yesow/admin.php/Public/profile/?_=1355241638808 | ERR: (ThinkException) 非法操作profile
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run CheckRoute Behavior [ RunTime:0.001420s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001879s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001216s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run CheckLang Behavior [ RunTime:0.002413s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004146s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_template ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000913s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001250s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run ParseTemplate Behavior [ RunTime:0.037369s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037818s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run ContentReplace Behavior [ RunTime:0.001129s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run TokenBuild Behavior [ RunTime:0.001218s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000734s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001443s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005649s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000712s ]
[ 2012-12-12T00:00:56+08:00 ] /yesow/admin.php/Public/logout/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001089s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001430s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001868s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001593s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.002581s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004828s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000831s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001214s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.011715s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012192s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001123s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001635s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000477s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001377s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005642s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000697s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000996s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001323s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001712s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001341s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002825s ]
[ 2012-12-12T00:00:57+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004708s ]
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001219s ]
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001554s ]
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001550s ]
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002671s ]
[ 2012-12-12T00:13:54+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004722s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001230s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001575s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001283s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckLang Behavior [ RunTime:0.002565s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004352s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
