[ 2012-11-19T21:19:19+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.034598s ]
[ 2012-11-19T21:19:19+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000359s ]
[ 2012-11-19T21:32:43+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:32:43+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001573s ]
[ 2012-11-19T21:32:43+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002053s ]
[ 2012-11-19T21:32:43+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002878s ]
[ 2012-11-19T21:32:43+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000408s ]
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001089s ]
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.024717s ]
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.026384s ]
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002846s ]
[ 2012-11-19T21:33:51+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000321s ]
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001079s ]
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.001978s ]
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003580s ]
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002538s ]
[ 2012-11-19T21:33:52+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000336s ]
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001712s ]
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002511s ]
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005049s ]
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002644s ]
[ 2012-11-19T21:34:14+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000382s ]
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001035s ]
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.001959s ]
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003482s ]
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002408s ]
[ 2012-11-19T21:34:15+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000280s ]
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001541s ]
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002478s ]
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004570s ]
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002593s ]
[ 2012-11-19T21:34:59+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000342s ]
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001242s ]
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002170s ]
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003925s ]
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002887s ]
[ 2012-11-19T21:36:33+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000309s ]
[ 2012-11-19T21:36:50+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:36:50+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001303s ]
[ 2012-11-19T21:36:50+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001648s ]
