[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001331s ]
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001678s ]
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001421s ]
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckLang Behavior [ RunTime:0.002639s ]
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004587s ]
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:16:59+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Run CheckRoute Behavior [ RunTime:0.001423s ]
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001772s ]
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001450s ]
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Run CheckLang Behavior [ RunTime:0.003836s ]
[ 2012-12-11T00:18:21+08:00 ] /yesow/admin.php/public/verify/1355156301292 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006005s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001357s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001714s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001245s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckLang Behavior [ RunTime:0.002567s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004310s ]
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:18:26+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001380s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001754s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001312s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckLang Behavior [ RunTime:0.003221s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005109s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000987s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001308s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.012209s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012526s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000978s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001526s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000574s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001342s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005290s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000783s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001118s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001448s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001928s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001361s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002990s ]
[ 2012-12-11T00:20:03+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004911s ]
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001464s ]
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001865s ]
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001198s ]
[ 2012-12-11T00:20:07+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckLang Behavior [ RunTime:0.002563s ]
