[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001122s ]
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.050823s ]
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.052564s ]
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.015975s ]
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.016311s ]
[ 2012-12-08T14:35:07+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 125 行.
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 139 行.
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.234718s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.235318s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.018681s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.010101s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001654s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002809s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.034486s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.190506s ]
[ 2012-12-08T14:35:08+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.190829s ]
[ 2012-12-08T14:36:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
[ 2012-12-08T14:36:04+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckRoute Behavior [ RunTime:0.351091s ]
[ 2012-12-08T14:36:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.351480s ]
[ 2012-12-08T14:36:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.261875s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run CheckLang Behavior [ RunTime:0.002265s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.264645s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --START--
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.133278s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.133647s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.341942s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.342279s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000891s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001278s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001235s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004838s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000728s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001040s ]
[ 2012-12-08T14:36:05+08:00 ] /yesow/admin.php/public/verify/ | ERR: (ThinkException) 非法操作verify
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001219s ]
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.024071s ]
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.025846s ]
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-12-08T17:33:17+08:00 ] /yesow/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001601s ]
